78,78,"{""Only one of the news-magazine shows remained on the air."",""Only one of the hour-long dramas remained on the air."",""At least one of the shows that was cancelled was an hour-long drama."",""Television viewers prefer sitcoms over hour-long dramas.""}"
79,79,"{""None follows"",""Only either I or III follows"",""Only II and III follow"",""Only III and IV follow""}"
80,80,"{""I alone sufficient while II alone not sufficient to answer"",""II alone sufficient while I alone not sufficient to answer"",""Either I or II alone sufficient to answer"",""Both I and II are necessary to answer""}"
81,81,"{""5 days"",""6 days"",""10 days"",""10 1/2 days""}"
82,82,"{""47.4 km/hr"",""57.19 km/hr"",""68.13 km/hr"",""96.25 km/hr""}"
83,83,"{""10"",""20"",""40"",""73""}"
84,84,"{""All the members of the club have been invited for dinner"",""Some of the officers are not gentlemen"",""All gentlemen are members of the club"",""Only gentlemen have been invited for dinner""}"
85,85,"{""moggaport"",""malgaauper"",""gropport"",""moggagrop""}"
86,86,"{""145"",""253"",""370"",""352""}"
87,87,"{""40"",""50"",""120"",""None of these""}"
88,88,"{""456"",""458"",""558"",""568""}"
89,89,"{""50"",""100"",""150"",""200""}"
90,90,"{""360"",""480"",""720"",""5040""}"
